date;Bezirk;GKZ;SiebenTageInzidenzFaelle;AnzahlFaelleSumP100T;AnzahlTotSumP100T;AnzahlGeheiltSumP100T
26.02.2020;Amstetten;305;0;0;0;0
26.02.2020;Baden;306;0;0;0;0
26.02.2020;Bludenz;801;0;0;0;0
26.02.2020;Braunau am Inn;404;0;0;0;0
26.02.2020;Bregenz;802;0;0;0;0
26.02.2020;Bruck an der Leitha;307;0;0;0;0
26.02.2020;Bruck-Mürzzuschlag;621;0;0;0;0
26.02.2020;Deutschlandsberg;603;0;0;0;0
26.02.2020;Dornbirn;803;0;0;0;0
26.02.2020;Eferding;405;0;0;0;0
26.02.2020;Eisenstadt-Umgebung;103;0;0;0;0
26.02.2020;Eisenstadt(Stadt);101;0;0;0;0
26.02.2020;Feldkirch;804;0;0;0;0
26.02.2020;Feldkirchen;210;0;0;0;0
26.02.2020;Freistadt;406;0;0;0;0
26.02.2020;Gänserndorf;308;0;0;0;0
26.02.2020;Gmünd;309;0;0;0;0
26.02.2020;Gmunden;407;0;0;0;0
26.02.2020;Graz-Umgebung;606;0;0;0;0
26.02.2020;Graz(Stadt);601;0;0;0;0
26.02.2020;Grieskirchen;408;0;0;0;0
26.02.2020;Güssing;104;0;0;0;0
26.02.2020;Hallein;502;0;0;0;0
26.02.2020;Hartberg-Fürstenfeld;622;0;0;0;0
26.02.2020;Hermagor;203;0;0;0;0
26.02.2020;Hollabrunn;310;0;0;0;0
26.02.2020;Horn;311;0;0;0;0
26.02.2020;Imst;702;0;0;0;0
26.02.2020;Innsbruck-Land;703;0;0;0;0
26.02.2020;Innsbruck-Stadt;701;0;0;0;0
26.02.2020;Jennersdorf;105;0;0;0;0
26.02.2020;Kirchdorf an der Krems;409;0;0;0;0
26.02.2020;Kitzbühel;704;0;0;0;0
26.02.2020;Klagenfurt Land;204;0;0;0;0
26.02.2020;Klagenfurt Stadt;201;0;0;0;0
26.02.2020;Korneuburg;312;0;0;0;0
26.02.2020;Krems an der Donau(Stadt);301;0;0;0;0
26.02.2020;Krems(Land);313;0;0;0;0
26.02.2020;Kufstein;705;0;0;0;0
26.02.2020;Landeck;706;0;0;0;0
26.02.2020;Leibnitz;610;0;0;0;0
26.02.2020;Leoben;611;0;0;0;0
26.02.2020;Lienz;707;0;0;0;0
26.02.2020;Liezen;612;0;0;0;0
26.02.2020;Lilienfeld;314;0;0;0;0
26.02.2020;Linz-Land;410;0;0;0;0
26.02.2020;Linz(Stadt);401;0;0;0;0
26.02.2020;Mattersburg;106;0;0;0;0
26.02.2020;Melk;315;0;0;0;0
26.02.2020;Mistelbach;316;0;0;0;0
26.02.2020;Mödling;317;0;0;0;0
26.02.2020;Murau;614;0;0;0;0
26.02.2020;Murtal;620;0;0;0;0
26.02.2020;Neunkirchen;318;0;0;0;0
26.02.2020;Neusiedl am See;107;0;0;0;0
26.02.2020;Oberpullendorf;108;0;0;0;0
26.02.2020;Oberwart;109;0;0;0;0
26.02.2020;Perg;411;0;0;0;0
26.02.2020;Reutte;708;0;0;0;0
26.02.2020;Ried im Innkreis;412;0;0;0;0
26.02.2020;Rohrbach;413;0;0;0;0
26.02.2020;Rust(Stadt);102;0;0;0;0
26.02.2020;Salzburg-Umgebung;503;0;0;0;0
26.02.2020;Salzburg(Stadt);501;0;0;0;0
26.02.2020;Sankt Johann im Pongau;504;0;0;0;0
26.02.2020;Sankt Pölten(Land);319;0;0;0;0
26.02.2020;Sankt Pölten(Stadt);302;0;0;0;0
26.02.2020;Sankt Veit an der Glan;205;0;0;0;0
